STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5211,"Recurrent taxes on motor vehicles, paid by households",_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5211,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5128,Other taxes on specific goods and services,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5128,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,4200,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5122,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,4600,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_2000,Social security contributions (SSC),_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,2000,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,3000,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_1120,Taxes on capital gains of individuals,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,1120,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5125,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_1220,Taxes on capital gains of corporations,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,1220,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5123,Customs and import duties,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5123,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_5124,Taxes on exports,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,5124,,3,Three
DATAFLOW,OECD.CTP.TPS:DSD_REV_ASAP@DF_REVHKG(2.0),"Hong Kong, China - tax and non-tax revenues",I,HKG,Hong Kong (China),TAX_REV,Tax revenue,S13,General government,T_4500,Other non-recurrent taxes on property,_T,Total,HKD,Hong Kong dollar,A,Annual,2014,,0,,A,Normal value,6,Millions,4500,,3,Three
