STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,CORP_TAX,Corporate income tax rate,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE,Corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE,Corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE,Corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE,Corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE,Corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,COMB_CIT_RATE,Combined corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,COMB_CIT_RATE,Combined corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,COMB_CIT_RATE,Combined corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,COMB_CIT_RATE,Combined corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUS,Australia,COMB_CIT_RATE,Combined corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE,Corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE,Corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE,Corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE,Corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE,Corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,COMB_CIT_RATE,Combined corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,COMB_CIT_RATE,Combined corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,COMB_CIT_RATE,Combined corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,COMB_CIT_RATE,Combined corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,MEX,Mexico,COMB_CIT_RATE,Combined corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE,Corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE,Corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE,Corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE,Corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE,Corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,PRT,Portugal,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE,Corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE,Corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE,Corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE,Corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,COMB_CIT_RATE,Combined corporate income tax rate,2019,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,COMB_CIT_RATE,Combined corporate income tax rate,2020,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,COMB_CIT_RATE,Combined corporate income tax rate,2021,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,COMB_CIT_RATE,Combined corporate income tax rate,2022,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,CRI,Costa Rica,COMB_CIT_RATE,Combined corporate income tax rate,2023,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE,Corporate income tax rate,2019,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE,Corporate income tax rate,2020,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE,Corporate income tax rate,2021,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE,Corporate income tax rate,2022,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2019,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2020,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2021,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,CIT_RATE_LESS_SUB_NAT,Corporate income tax rate less deductions for sub-national taxes,2022,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,COMB_CIT_RATE,Combined corporate income tax rate,2019,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,COMB_CIT_RATE,Combined corporate income tax rate,2020,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,COMB_CIT_RATE,Combined corporate income tax rate,2021,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,AUT,Austria,COMB_CIT_RATE,Combined corporate income tax rate,2022,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,BEL,Belgium,CIT_RATE,Corporate income tax rate,2020,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_II1(1.0),Table II.1. Statutory corporate income tax rate,I,BEL,Belgium,CIT_RATE,Corporate income tax rate,2021,,25,,A,,PC,Percentage,0,Units,,
